species,lat,lon
species,-42.648634,145.351066
species,-42.682441,145.365444
species,-42.598634,145.2844
species,-42.598634,145.2844
species,-34.466667,172.666667
species,-42.500001,145.249997
species,-43.328519,147.201202
species,-43.279096,147.130789
species,-42.651995,145.356427
species,-42.648645,145.350806
species,-42.598978,145.280201
species,-41.018626,173.000324
species,-40.799595,173.001883
species,-29.729158,153.297839
species,-29.523245,153.356054
species,-31.0833,153.0333
species,-23.43,151.92
species,-23.441667,151.913889
species,-42.731967,145.3844
species,-42.89618,145.452891
species,-26.390208,153.125784
species,-46.383333,169.816667
species,-26.390069,153.126054
species,-42.898584,145.450719
species,-42.729215,145.380431
species,-38.265,144.768
species,-46.373135,169.782793
species,-37.7833,149.2833
species,-43.067426,145.680719
species,-43.121112,145.729967
species,-43.067931,145.683108
species,-43.108922,145.71089
species,-37.988,145.06
species,-44.416579,171.263472
species,-44.416579,171.263472
species,-44.416579,171.263472
species,-33.814974,151.286972
species,-34.86546,135.87201
species,-37.22967,139.78417
species,-43.28875,145.920008
species,-43.528753,146.518415
species,-42.885501,147.959906
species,-23.273558,150.842468
species,-23.273422,150.842742
species,-26.38312,153.086603
species,-43.508636,146.510249
species,-43.279386,145.910651
species,-42.879008,147.950331
species,-34.490667,150.928621
species,-36.874091,149.93056
species,-36.874091,149.93056
species,-36.562907,150.060173
species,-36.658689,150.004018
species,-37.111193,149.926178
species,-36.905252,149.909311
species,-37.056554,149.912833
species,-36.562907,150.060173
species,-36.688707,149.992878
species,-36.397273,150.067544
species,-36.688707,149.992878
species,-36.905252,149.909311
species,-37.498364,149.974028
species,-36.860421,149.936767
species,-43.104128,145.685184
species,-43.119093,145.734647
species,-34.490669,150.928619
species,-37.340976,149.962162
species,-37.371921,149.949831
species,-37.463258,149.972636
species,-37.279285,149.942826
species,-37.438195,149.965993
species,-37.097154,149.87389
species,-37.168749,150.002712
species,-36.969631,149.92973
species,-36.798897,149.94674
species,-36.933271,149.905886
species,-36.83254,149.934579
species,-36.611731,150.030374
species,-36.526784,150.057076
species,-36.718808,149.978375
species,-36.80711,149.942572
species,-36.54299,150.056461
species,-36.465699,150.064967
species,-37.463258,149.972636
species,-36.586884,150.045854
species,-37.279285,149.942826
species,-36.969631,149.92973
species,-36.933271,149.905886
species,-36.798897,149.94674
species,-36.526784,150.057076
species,-37.4382,149.96602
species,-36.586887,150.045875
species,-37.056557,149.912855
species,-37.371925,149.949857
species,-36.56291,150.060194
species,-36.969634,149.929752
species,-36.542993,150.056481
species,-37.34098,149.962188
species,-36.933274,149.905908
species,-36.526787,150.057096
species,-36.905255,149.909333
species,-36.465702,150.064987
species,-37.279288,149.942851
species,-36.397276,150.067564
species,-36.874094,149.930582
species,-36.807113,149.942594
species,-37.168753,150.002736
species,-36.7989,149.946761
species,-37.112097,149.926235
species,-36.718812,149.978396
species,-36.68871,149.992899
species,-37.097157,149.873913
species,-37.498369,149.974055
species,-36.658706,150.00348
species,-36.611734,150.030395
species,-37.279288,149.942851
species,-36.874094,149.930582
species,-36.933274,149.905908
species,-37.463262,149.972662
species,-36.526787,150.057096
species,-36.7989,149.946761
species,-36.68871,149.992899
species,-36.905255,149.909333
species,-36.969648,149.929191
species,-36.56291,150.060194
species,-20.956902,150.092468
species,-23.247222,151.778333
species,-34.466667,172.633333
species,-20.956762,150.092731
species,-23.247222,151.778333
species,-43.564,146.626196
species,-43.451092,146.084313
species,-43.463238,146.028501
species,-39.220444,146.985867
