Rep	Year	RepSeason	x	y	Species	NInd
0	0	0	128	84	0	1000
0	0	0	129	84	0	1000
0	0	0	135	84	0	1000
0	0	0	136	84	0	1000
0	0	0	137	84	0	1000
0	0	0	138	84	0	1000
0	0	0	139	84	0	1000
0	0	0	140	84	0	1000
0	0	0	141	84	0	1000
0	0	0	142	84	0	1000
0	0	0	143	84	0	1000
0	0	0	29	83	0	1000
0	0	0	30	83	0	1000
0	0	0	31	83	0	1000
0	0	0	32	83	0	1000
0	0	0	33	83	0	1000
0	0	0	34	83	0	1000
0	0	0	35	83	0	1000
0	0	0	36	83	0	1000
0	0	0	37	83	0	1000
0	0	0	38	83	0	1000
0	0	0	39	83	0	1000
0	0	0	40	83	0	1000
0	0	0	41	83	0	1000
0	0	0	42	83	0	1000
0	0	0	43	83	0	1000
0	0	0	44	83	0	1000
0	0	0	45	83	0	1000
0	0	0	46	83	0	1000
0	0	0	47	83	0	1000
0	0	0	48	83	0	1000
0	0	0	49	83	0	1000
0	0	0	50	83	0	1000
0	0	0	51	83	0	1000
0	0	0	53	83	0	1000
0	0	0	54	83	0	1000
0	0	0	55	83	0	1000
0	0	0	56	83	0	1000
0	0	0	57	83	0	1000
0	0	0	58	83	0	1000
0	0	0	59	83	0	1000
0	0	0	60	83	0	1000
0	0	0	61	83	0	1000
0	0	0	62	83	0	1000
0	0	0	63	83	0	1000
0	0	0	64	83	0	1000
0	0	0	65	83	0	1000
0	0	0	66	83	0	1000
0	0	0	67	83	0	1000
0	0	0	68	83	0	1000
0	0	0	69	83	0	1000
0	0	0	70	83	0	1000
0	0	0	71	83	0	1000
0	0	0	72	83	0	1000
0	0	0	73	83	0	1000
0	0	0	74	83	0	1000
0	0	0	75	83	0	1000
0	0	0	76	83	0	1000
0	0	0	77	83	0	1000
0	0	0	78	83	0	1000
0	0	0	79	83	0	1000
0	0	0	80	83	0	1000
0	0	0	81	83	0	1000
0	0	0	97	83	0	1000
0	0	0	98	83	0	1000
0	0	0	99	83	0	1000
0	0	0	100	83	0	1000
0	0	0	101	83	0	1000
0	0	0	102	83	0	1000
0	0	0	118	83	0	1000
0	0	0	119	83	0	1000
0	0	0	120	83	0	1000
0	0	0	121	83	0	1000
0	0	0	122	83	0	1000
0	0	0	123	83	0	1000
0	0	0	124	83	0	1000
0	0	0	130	83	0	1000
0	0	0	131	83	0	1000
0	0	0	134	83	0	1000
0	0	0	135	83	0	1000
0	0	0	136	83	0	1000
0	0	0	137	83	0	1000
0	0	0	138	83	0	1000
0	0	0	139	83	0	1000
0	0	0	140	83	0	1000
0	0	0	141	83	0	1000
0	0	0	142	83	0	1000
0	0	0	143	83	0	1000
0	0	0	144	83	0	1000
0	0	0	145	83	0	1000
0	0	0	146	83	0	1000
0	0	0	158	83	0	1000
0	0	0	159	83	0	1000
0	0	0	160	83	0	1000
0	0	0	161	83	0	1000
0	0	0	162	83	0	1000
0	0	0	163	83	0	1000
0	0	0	164	83	0	1000
0	0	0	27	82	0	1000
0	0	0	28	82	0	1000
0	0	0	29	82	0	1000
0	0	0	30	82	0	1000
0	0	0	31	82	0	1000
0	0	0	32	82	0	1000
0	0	0	33	82	0	1000
0	0	0	34	82	0	1000
0	0	0	35	82	0	1000
0	0	0	36	82	0	1000
0	0	0	37	82	0	1000
0	0	0	38	82	0	1000
0	0	0	39	82	0	1000
0	0	0	40	82	0	1000
0	0	0	41	82	0	1000
0	0	0	42	82	0	1000
0	0	0	43	82	0	1000
0	0	0	44	82	0	1000
0	0	0	45	82	0	1000
0	0	0	46	82	0	1000
0	0	0	47	82	0	1000
0	0	0	48	82	0	1000
0	0	0	49	82	0	1000
0	0	0	50	82	0	1000
0	0	0	51	82	0	1000
0	0	0	55	82	0	1000
0	0	0	56	82	0	1000
0	0	0	57	82	0	1000
0	0	0	58	82	0	1000
0	0	0	59	82	0	1000
0	0	0	60	82	0	1000
0	0	0	61	82	0	1000
0	0	0	62	82	0	1000
0	0	0	63	82	0	1000
0	0	0	64	82	0	1000
0	0	0	65	82	0	1000
0	0	0	66	82	0	1000
0	0	0	67	82	0	1000
0	0	0	68	82	0	1000
0	0	0	69	82	0	1000
0	0	0	70	82	0	1000
0	0	0	71	82	0	1000
0	0	0	72	82	0	1000
0	0	0	73	82	0	1000
0	0	0	74	82	0	1000
0	0	0	75	82	0	1000
0	0	0	76	82	0	1000
0	0	0	77	82	0	1000
0	0	0	78	82	0	1000
0	0	0	79	82	0	1000
0	0	0	80	82	0	1000
0	0	0	99	82	0	1000
0	0	0	116	82	0	1000
0	0	0	117	82	0	1000
0	0	0	118	82	0	1000
