Year	Mean_OccupSuit	Std_error
466	0.00040575	0.000120594
467	0.000417633	0.000123812
468	0.000407447	0.000122026
469	0.000413672	0.000122432
470	0.000407447	0.000119145
471	0.000407447	0.000118576
472	0.000380284	0.000110373
473	0.000380284	0.000112054
474	0.000389338	0.000116404
475	0.000389338	0.000114869
476	0.00039047	0.000116782
477	0.000379152	0.00011472
478	0.000370098	0.000116087
479	0.000367834	0.000115372
480	0.000376323	0.000116618
481	0.000376323	0.000116635
482	0.000376323	0.000115091
483	0.000385943	0.00011653
484	0.000388207	0.000119033
485	0.000379152	0.000115493
486	0.000374059	0.000114845
487	0.000342369	0.000104917
488	0.000354819	0.000109675
489	0.000354253	0.000109308
490	0.000354253	0.000108968
491	0.00035595	0.000108461
492	0.000355385	0.000109434
493	0.000353121	0.000107847
494	0.000335578	0.000103629
495	0.000343501	0.000104675
496	0.000349726	0.000106468
497	0.000351989	0.000105425
498	0.000369532	0.000110924
499	0.000369532	0.000111514
500	0.000363307	0.000110332
501	0.000362175	0.000111176
502	0.000360478	0.000111848
503	0.000364439	0.000110634
504	0.000364439	0.000109352
505	0.000363873	0.000108714
506	0.000376889	0.000112808
507	0.000378586	0.00011454
508	0.000381982	0.000115772
509	0.000366137	0.000110412
510	0.000375191	0.000113561
511	0.000374625	0.000115109
512	0.00035878	0.000109679
513	0.000353121	0.0001086
514	0.000357082	0.00011055
515	0.000360478	0.000111709
516	0.000337276	0.000106985
517	0.000346896	0.000108733
518	0.000348028	0.000108189
519	0.000358214	0.0001132
520	0.000363307	0.00011453
521	0.000362741	0.000113074
522	0.000353687	0.000109361
523	0.000363873	0.000117549
524	0.000368966	0.000120012
525	0.000371796	0.000120565
526	0.000363873	0.000116765
527	0.000357648	0.000114269
528	0.000349726	0.000112225
529	0.000353121	0.000114589
530	0.000354253	0.000113061
531	0.000342935	0.000108277
532	0.00034916	0.000112762
533	0.00034916	0.000112132
534	0.00034916	0.000110619
535	0.000350857	0.00011082
536	0.000350857	0.000110697
537	0.000352555	0.000111617
538	0.000344067	0.000108032
539	0.000340105	0.0001085
540	0.000337276	0.000108442
541	0.000330485	0.000105296
542	0.000321431	0.000103218
543	0.000337276	0.000109847
544	0.000338973	0.000111183
545	0.000330485	0.000110164
546	0.000323128	0.000108392
547	0.000326524	0.000111405
548	0.000345198	0.000116602
549	0.000348594	0.000115002
550	0.00035595	0.000116762
551	0.000368966	0.000119758
552	0.000365005	0.00012053
553	0.000366703	0.000122582
554	0.000362741	0.000122172
555	0.000351989	0.000119588
556	0.000346896	0.000117817
557	0.000365571	0.00012226
558	0.000378586	0.000125766
559	0.000381416	0.000128186
560	0.000386509	0.000127456
561	0.000379152	0.000124878
562	0.000384811	0.000127664
563	0.00038085	0.00012674
564	0.000382548	0.000127301
565	0.000385377	0.000127503
566	0.000382548	0.00012957
