Year	Mean_OccupSuit	Std_error
279	0.083558	0.0246434
280	0.0827493	0.0246386
281	0.0839623	0.0255228
282	0.0843666	0.0257505
283	0.0865229	0.026739
284	0.0885445	0.0268266
285	0.0863881	0.026639
286	0.0901617	0.027615
287	0.0894879	0.0266373
288	0.0911051	0.026991
289	0.0897574	0.0268959
290	0.0893531	0.0267052
291	0.0884097	0.0268433
292	0.0913747	0.0282704
293	0.0912399	0.0285391
294	0.0866577	0.0269722
295	0.0880054	0.0272669
296	0.0878706	0.0271785
297	0.0908356	0.0293652
298	0.0880054	0.0285645
299	0.0880054	0.0280994
300	0.0912399	0.0286689
301	0.0896226	0.0284918
302	0.091779	0.0294436
303	0.0931267	0.0312576
304	0.0908356	0.0303507
305	0.0943396	0.0307305
306	0.090566	0.0296916
307	0.0923181	0.0298918
308	0.0939353	0.0298416
309	0.0936658	0.029856
310	0.0928571	0.0300495
311	0.0892183	0.0291033
312	0.0897574	0.0296007
313	0.0916442	0.030718
314	0.0924528	0.0315012
315	0.088814	0.0305834
316	0.0894879	0.0310664
317	0.093531	0.0313142
318	0.0929919	0.0309393
319	0.0928571	0.0305787
320	0.0928571	0.0305153
321	0.0960916	0.031729
322	0.0954178	0.0312991
323	0.095283	0.0305329
324	0.098248	0.031719
325	0.098248	0.0315928
326	0.0975741	0.0316769
327	0.097035	0.0316653
328	0.0948787	0.0315345
329	0.0948787	0.0313715
330	0.0977089	0.0322364
331	0.1	0.0338659
332	0.0986523	0.0335696
333	0.0987871	0.0334541
334	0.101617	0.0349708
335	0.101752	0.034509
336	0.0991914	0.0344762
337	0.098248	0.0343156
338	0.0938005	0.0323551
339	0.0962264	0.0332557
340	0.098248	0.0332164
341	0.0977089	0.0322358
342	0.0969003	0.0323783
343	0.0944744	0.0316866
344	0.0942049	0.0318397
345	0.0929919	0.0314003
346	0.0939353	0.0315216
347	0.0946092	0.0324022
348	0.0938005	0.0331037
349	0.0938005	0.0331859
350	0.0942049	0.0332359
351	0.0959569	0.0334304
352	0.0955526	0.0323216
353	0.10027	0.0344111
354	0.0994609	0.0344209
355	0.0995957	0.034853
356	0.0977089	0.0330305
357	0.0958221	0.0325369
358	0.0959569	0.0329139
359	0.0969003	0.0341493
360	0.0998652	0.0356912
361	0.0969003	0.0344289
362	0.0959569	0.0339623
363	0.0954178	0.0337799
364	0.0951482	0.033462
365	0.0974394	0.0339351
366	0.097035	0.0332835
367	0.0942049	0.0326613
368	0.095283	0.032687
369	0.0929919	0.0318515
370	0.090566	0.0308543
371	0.0913747	0.0311206
372	0.0894879	0.0301653
373	0.0828841	0.0284259
374	0.0820755	0.0283983
375	0.0814016	0.0279006
376	0.0828841	0.0289297
377	0.0838275	0.0292071
378	0.0862534	0.0300727
379	0.0850404	0.0297199
380	0.0824798	0.0289252
381	0.08531	0.0297631
382	0.0886792	0.0309522
383	0.0889488	0.0309986
384	0.0882749	0.0306261
385	0.0893531	0.0310767
386	0.0858491	0.0298268
387	0.0890836	0.0305484
388	0.0912399	0.0310961
389	0.0936658	0.0324554
390	0.0921833	0.0323869
391	0.0919137	0.0323155
392	0.0939353	0.0323725
393	0.0944744	0.0332444
394	0.0946092	0.0334974
395	0.0925876	0.0323631
396	0.090027	0.0317371
397	0.0920485	0.0320586
398	0.0943396	0.0328035
399	0.096496	0.0339447
400	0.0969003	0.0334622
401	0.0973046	0.0339789
402	0.0987871	0.0347734
403	0.0990566	0.0348141
404	0.103369	0.0357842
405	0.103235	0.0366089
406	0.102022	0.0361483
407	0.0975741	0.0352209
408	0.0966307	0.0345603
409	0.0954178	0.0344496
410	0.0958221	0.035532
411	0.0939353	0.0345906
412	0.0942049	0.034481
413	0.0979784	0.0359395
414	0.0994609	0.0364894
415	0.0944744	0.0347068
416	0.0991914	0.0367739
417	0.0991914	0.0375021
418	0.0977089	0.0356102
419	0.0967655	0.0353756
420	0.097035	0.0357813
421	0.0969003	0.0356216
422	0.0963612	0.0351021
423	0.0993261	0.0364956
424	0.101752	0.0369666
425	0.1031	0.0371409
426	0.102022	0.0360012
427	0.102022	0.0359232
428	0.103908	0.0360093
429	0.103639	0.0352205
430	0.10593	0.0361774
431	0.104582	0.0352364
432	0.103908	0.0344798
433	0.0987871	0.0329325
434	0.0974394	0.0324453
435	0.100539	0.0332266
436	0.0991914	0.0330903
437	0.0991914	0.0337419
438	0.1031	0.0352439
439	0.0998652	0.034193
440	0.105256	0.0359285
441	0.107008	0.0370391
442	0.10876	0.0373121
443	0.111186	0.0382591
444	0.107278	0.0376814
445	0.113073	0.0401374
446	0.109164	0.0388469
447	0.109299	0.0388383
448	0.110647	0.0393734
449	0.110243	0.0391696
450	0.112938	0.0399885
451	0.113747	0.0403509
452	0.112938	0.0399749
453	0.11159	0.0395572
454	0.10903	0.0394078
455	0.113881	0.0412404
456	0.111321	0.0400346
457	0.110782	0.0396199
458	0.108221	0.0386641
459	0.107008	0.0376256
460	0.104852	0.036491
461	0.103774	0.0359782
462	0.107547	0.0381279
463	0.108625	0.038876
464	0.107682	0.0380922
465	0.112803	0.0402286
466	0.115094	0.0412467
467	0.110647	0.0390104
468	0.108221	0.0386683
469	0.109973	0.0397147
470	0.109973	0.0401916
471	0.109299	0.0399196
472	0.109434	0.0412436
473	0.110647	0.0406818
474	0.109299	0.039865
475	0.109569	0.0394188
476	0.111456	0.039882
477	0.10876	0.0394152
478	0.105795	0.0381641
479	0.106739	0.0385139
480	0.108895	0.0389013
481	0.109704	0.0398861
482	0.105526	0.037971
483	0.105526	0.0378384
484	0.109569	0.0398384
485	0.109299	0.040343
486	0.108356	0.0399917
487	0.108491	0.0404139
488	0.11442	0.042983
489	0.111051	0.0419396
490	0.112803	0.0432309
491	0.113342	0.0429943
492	0.112938	0.0442705
493	0.109299	0.0425602
494	0.110782	0.0438317
495	0.11159	0.0439204
496	0.11469	0.0458822
497	0.11186	0.0460882
498	0.118598	0.0488173
499	0.114825	0.0467887
500	0.116577	0.0473846
501	0.114555	0.0468396
502	0.110377	0.0459771
503	0.108086	0.0450232
504	0.109569	0.0468702
505	0.106739	0.0456437
506	0.106739	0.0464154
507	0.111321	0.0476056
508	0.107951	0.0461405
509	0.10876	0.0456629
510	0.107278	0.0458878
511	0.106604	0.0447857
512	0.103504	0.0436845
513	0.102561	0.0436432
514	0.103774	0.0443654
515	0.102156	0.043574
516	0.10027	0.0430439
517	0.0995957	0.0427769
518	0.0997305	0.0436106
519	0.0979784	0.0435231
520	0.0994609	0.0439998
521	0.102022	0.0441812
522	0.102022	0.0446108
523	0.10027	0.0448063
524	0.0981132	0.0444325
525	0.0969003	0.043749
526	0.0928571	0.0445444
527	0.0973046	0.0458357
528	0.0960916	0.0456067
529	0.0991914	0.0465675
530	0.0981132	0.0471881
531	0.0989218	0.046785
532	0.0978437	0.0463028
533	0.100809	0.0474496
534	0.0990566	0.0458926
535	0.0978437	0.0459655
536	0.0960916	0.0464976
537	0.0947439	0.0456116
538	0.0960916	0.0466899
539	0.097035	0.0471471
540	0.100674	0.0490709
541	0.0971698	0.0477737
542	0.100404	0.0490669
543	0.0959569	0.0476173
544	0.0958221	0.0460705
545	0.0974394	0.0476932
546	0.0990566	0.0478732
547	0.0994609	0.0471273
548	0.100539	0.0478145
549	0.101887	0.0486592
550	0.10903	0.0524747
551	0.107951	0.0518705
552	0.10283	0.0489606
553	0.106334	0.0511433
554	0.104313	0.0516341
555	0.105121	0.0522101
556	0.110377	0.0549133
557	0.108895	0.0536749
558	0.112264	0.0555682
559	0.115094	0.057617
560	0.111186	0.0564296
561	0.108086	0.0551214
562	0.107547	0.05493
563	0.10566	0.054108
564	0.107008	0.0542179
565	0.104447	0.0532
566	0.105256	0.0542165
567	0.107008	0.0546845
568	0.106604	0.0538385
569	0.105795	0.0542994
570	0.106065	0.0541199
571	0.103504	0.0521106
572	0.102965	0.051722
573	0.103774	0.0522495
574	0.102965	0.0522252
575	0.102291	0.0518744
576	0.10283	0.0519831
577	0.100674	0.0500624
578	0.0978437	0.0481728
579	0.0979784	0.0482251
580	0.0990566	0.0491704
581	0.101887	0.0509657
582	0.0991914	0.0498839
583	0.0967655	0.0490778
584	0.095283	0.0484905
585	0.0990566	0.049667
586	0.0991914	0.0496694
587	0.0995957	0.0491869
588	0.0995957	0.0481892
589	0.100809	0.0502433
590	0.100135	0.0498183
591	0.0995957	0.0494329
592	0.0947439	0.0476593
593	0.0955526	0.0480664
594	0.0959569	0.0469871
595	0.0944744	0.0462968
596	0.0933962	0.046521
597	0.0940701	0.04587
598	0.0942049	0.0468166
599	0.0962264	0.0473113
600	0.0946092	0.047239
601	0.0956873	0.0470717
602	0.0890836	0.0436243
603	0.0929919	0.0462386
604	0.0948787	0.0473339
605	0.0933962	0.0452838
606	0.0940701	0.0457581
607	0.0924528	0.0447486
608	0.0907008	0.0430967
609	0.0876011	0.0413888
610	0.0894879	0.0435028
611	0.0920485	0.0449614
612	0.0898922	0.0450587
613	0.090566	0.0452017
614	0.0890836	0.0452385
615	0.0889488	0.0458371
616	0.0892183	0.0458907
617	0.0892183	0.0469235
618	0.0915094	0.0485248
619	0.0896226	0.0482
620	0.0944744	0.0513579
621	0.0956873	0.0519213
622	0.0938005	0.0490093
623	0.0960916	0.0493486
624	0.0950135	0.0488662
625	0.0985175	0.0510979
626	0.0954178	0.049908
627	0.0954178	0.049662
628	0.0907008	0.0475283
629	0.0925876	0.0469068
630	0.0956873	0.0484851
631	0.0942049	0.0478058
632	0.0929919	0.0479388
633	0.0915094	0.0465728
634	0.0894879	0.0451066
635	0.0969003	0.0498379
636	0.0998652	0.0503616
637	0.0997305	0.0502024
638	0.0975741	0.0485858
639	0.091779	0.045894
640	0.0933962	0.0466813
641	0.0904313	0.0463352
642	0.0889488	0.0457247
643	0.0889488	0.0451522
644	0.0898922	0.0459707
645	0.0873315	0.0440842
646	0.0904313	0.0458588
647	0.0869272	0.0435871
648	0.0871968	0.0431566
649	0.0873315	0.0435026
650	0.0849057	0.042596
651	0.0861186	0.0426762
652	0.0861186	0.0426521
653	0.0863881	0.043923
654	0.0911051	0.0460638
655	0.0919137	0.0474755
656	0.0863881	0.0459336
657	0.0886792	0.046877
658	0.0866577	0.0459852
659	0.0871968	0.0455779
660	0.0878706	0.0460321
661	0.0904313	0.0465516
662	0.0927224	0.0469192
663	0.0913747	0.0465244
664	0.0924528	0.0486244
665	0.0897574	0.0467189
666	0.0881402	0.0461474
667	0.0871968	0.0455305
668	0.0851752	0.0446274
669	0.0846361	0.045003
670	0.0827493	0.0438944
671	0.0818059	0.0441081
672	0.0815364	0.04468
673	0.0816712	0.0444854
674	0.082345	0.0439804
675	0.0801887	0.0436931
676	0.0765499	0.0412167
677	0.0811321	0.0433376
678	0.0793801	0.0431082
679	0.0796496	0.0437702
680	0.0807278	0.043677
681	0.0793801	0.0420075
682	0.0818059	0.043166
683	0.0761456	0.0414352
684	0.0772237	0.0428799
685	0.0773585	0.0436205
686	0.0769542	0.0436788
687	0.0800539	0.0454423
688	0.0820755	0.0464722
689	0.080593	0.0456707
690	0.078841	0.0444445
691	0.0777628	0.0442784
692	0.0783019	0.0444528
693	0.0785714	0.0433614
694	0.0781671	0.0437377
695	0.0785714	0.0435509
696	0.0791105	0.0434893
697	0.080593	0.0443015
698	0.0801887	0.0435023
699	0.0819407	0.0449334
700	0.0824798	0.0461997
701	0.0789757	0.0446448
702	0.075876	0.0425818
703	0.0760108	0.042214
704	0.0750674	0.0421378
705	0.0739892	0.0409468
706	0.0765499	0.0428826
707	0.0752022	0.0417276
708	0.0714286	0.040102
709	0.0719677	0.04063
710	0.0712938	0.0403305
711	0.0710243	0.0404148
712	0.0698113	0.0384845
713	0.0681941	0.0367113
714	0.0699461	0.0378253
715	0.069407	0.0377215
716	0.0703504	0.0384536
717	0.0699461	0.0379882
718	0.071159	0.038517
719	0.0691375	0.0362587
720	0.069407	0.0366442
721	0.0690027	0.0365607
722	0.069407	0.0362633
723	0.0714286	0.0366143
724	0.0725067	0.0379533
725	0.067655	0.0353562
726	0.0725067	0.0378511
727	0.0735849	0.0386099
728	0.0714286	0.0374012
729	0.0726415	0.0379068
730	0.074124	0.0377733
731	0.0725067	0.0375895
